Ewe/V	<I>/mA	
-6.1656803E-001	1.705790758470865E-002
-6.1614305E-001	1.752987890043349E-002
-6.1565840E-001	1.803646634021880E-002
-6.1511159E-001	1.854813407046235E-002
-6.1461502E-001	1.905511391253206E-002
-6.1412787E-001	1.954879822318820E-002
-6.1366224E-001	2.005327539659907E-002
-6.1315608E-001	2.056572535063583E-002
-6.1267376E-001	2.108977626250586E-002
-6.1213899E-001	2.160825798764088E-002
-6.1162794E-001	2.211769501040548E-002
-6.1112410E-001	2.261498273928247E-002
-6.1057025E-001	2.314484605090433E-002
-6.1014044E-001	2.367352447991605E-002
-6.0964614E-001	2.418715740540261E-002
